Building components;Building element;Level 3: Material;Unit;Quantity ;Repl (year);GWP [kg CO2 eq] A1-A3;GWP [kg CO2 eq];GHG from KBOB;KBOB ID;GWP [kg CO2 eq] KBOB ID;GHG from KBOB
Foundation;EF02_Erdanlieg. Boden / Labors / 5kN/m²+5kN;XPS;kg;3335.620594;50;13845.66804;0.065865887;0.230086574;10.005;14.5;0.042874855
Foundation;EF02_Erdanlieg. Boden / Labors / 5kN/m²+5kN;Geotextile;kg;5773.378378;50;5744.689773;0.027328337;0.152429713;9.005;5.55;0.230086574
Foundation;EF02_Erdanlieg. Boden / Labors / 5kN/m²+5kN;ConcreteFoundation;kg;721150.165;50;75002.49466;0.356797939;0.340317284;1.002;0.0992;0.152429713
Foundation;EF02_Erdanlieg. Boden / Labors / 5kN/m²+5kN;ReinforcingSteel;kg;54861.02111;50;22100.7448;0.105136505;0.177989707;6.003;0.682;0.340317284
Foundation;EF02_Erdanlieg. Boden / Labors / 5kN/m²+5kN;LightweightAggregate;kg;4790.676314;50;6030.952954;0.028690133;0.009731311;4.01;0.427;0.177989707
Foundation;EF02_Erdanlieg. Boden / Labors / 5kN/m²+5kN;Rockwool;kg;1775.466333;50;1934.031153;0.009200472;0.009544156;10.008;1.13;0.009731311
Foundation;EF02_Erdanlieg. Boden / Labors / 5kN/m²+5kN;PE;kg;108.5917301;50;219.346835;0.001043465;0.000491274;4.003;0.951;0.009544156
Foundation;EF02_Erdanlieg. Boden / Labors / 5kN/m²+5kN;CementMortar;kg;90536.03191;50;17334.4193;0.082462391;0.115856489;4.009;0.269;0.000491274
Foundation;EF02_Erdanlieg. Boden / Labors / 5kN/m²+5kN;Rubber;kg;1431.199485;20;3456.862449;0.041112012;0.088679764;8.003;5.21;0.115856489
Foundation;EF02_Erdanlieg. Boden / Labors / 5kN/m²+5kN;Polyvinyl chloride (PVC);kg;256.62;20;502.4447558;0.00597551;0.01348961;13.004;4.42;0.088679764
Foundation;EF03_Erdanlieg. Boden / Sanitär m. FBH / 3kN/m²+3kN;NaturalAggregate;kg;2810.7;50;431.2406177;0.002051475;0.005709381;4.01;0.427;0.01348961
Foundation;EF03_Erdanlieg. Boden / Sanitär m. FBH / 3kN/m²+3kN;lean concrete;kg;3067.079421;50;151.1450897;0.00071902;0.000862301;1.001;0.0591;0.005709381
Foundation;EF03_Erdanlieg. Boden / Sanitär m. FBH / 3kN/m²+3kN;XPS;kg;67.08618699;50;278.464846;0.001324698;0.004627514;10.005;14.5;0.000862301
Foundation;EF03_Erdanlieg. Boden / Sanitär m. FBH / 3kN/m²+3kN;Geotextile;kg;116.1145072;50;115.5375204;0.000549629;0.003065675;9.005;5.55;0.004627514
Foundation;EF03_Erdanlieg. Boden / Sanitär m. FBH / 3kN/m²+3kN;ConcreteFoundation;kg;14503.81224;50;1508.454346;0.00717594;0.00684448;1.002;0.0992;0.003065675
Foundation;EF03_Erdanlieg. Boden / Sanitär m. FBH / 3kN/m²+3kN;ReinforcingSteel;kg;1103.367909;50;444.4914091;0.002114511;0.003579739;6.003;0.682;0.00684448
Foundation;EF03_Erdanlieg. Boden / Sanitär m. FBH / 3kN/m²+3kN;LightweightAggregate;kg;105.1094712;50;132.321667;0.000629474;0.000213509;4.01;0.427;0.003579739
Foundation;EF03_Erdanlieg. Boden / Sanitär m. FBH / 3kN/m²+3kN;Rockwool;kg;35.70827767;50;38.89734216;0.00018504;0.000191953;10.008;1.13;0.000213509
Foundation;EF03_Erdanlieg. Boden / Sanitär m. FBH / 3kN/m²+3kN;PE;kg;2.184002919;50;4.411515751;2.09862E-05;9.88E-06;4.003;0.951;0.000191953
Foundation;EF03_Erdanlieg. Boden / Sanitär m. FBH / 3kN/m²+3kN;CementMortar;kg;2007.718084;50;384.4063668;0.001828678;0.002569222;4.009;0.269;9.88053E-06
Foundation;EF03_Erdanlieg. Boden / Sanitär m. FBH / 3kN/m²+3kN;Epoxy Resin;kg;27.10107198;30;109.1306255;0.000865251;#N/A;FALSE;#N/A;0.002569222
Foundation;EF04_Erdanlieg. Boden / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;NaturalAggregate;kg;5378.4;50;825.1981849;0.00392559;0.010925155;4.01;0.427;#N/A
Foundation;EF04_Erdanlieg. Boden / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;lean concrete;kg;5868.993474;50;289.2228805;0.001375876;0.001650052;1.001;0.0591;0.010925155
Foundation;EF04_Erdanlieg. Boden / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;XPS;kg;128.3724154;50;532.8549214;0.00253487;0.008854955;10.005;14.5;0.001650052
Foundation;EF04_Erdanlieg. Boden / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;Geotextile;kg;222.1902962;50;221.0862061;0.00105174;0.005866306;9.005;5.55;0.008854955
Foundation;EF04_Erdanlieg. Boden / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;ConcreteFoundation;kg;27753.6926;50;2886.494771;0.013731482;0.013097219;1.002;0.0992;0.005866306
Foundation;EF04_Erdanlieg. Boden / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;ReinforcingSteel;kg;2111.34378;50;850.5541662;0.004046212;0.00684999;6.003;0.682;0.013097219
Foundation;EF04_Erdanlieg. Boden / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;LightweightAggregate;kg;268.1755576;50;337.6045605;0.001606035;0.000544746;4.01;0.427;0.00684999
Foundation;EF04_Erdanlieg. Boden / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;Rockwool;kg;68.32938436;50;74.4318017;0.000354083;0.00036731;10.008;1.13;0.000544746
Foundation;EF04_Erdanlieg. Boden / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;PE;kg;4.179187141;50;8.441632445;4.01581E-05;1.89E-05;4.003;0.951;0.00036731
Foundation;EF04_Erdanlieg. Boden / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;CementMortar;kg;1874.935499;50;358.9832403;0.001707736;0.002399304;4.009;0.269;1.89068E-05
Foundation;EF04_Erdanlieg. Boden / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;Epoxy Resin;kg;24.34150077;30;98.01838122;0.000777147;#N/A;FALSE;#N/A;0.002399304
Foundation;EF04_Erdanlieg. Boden / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;Rubber;kg;29.54183045;20;71.35416513;0.000848606;0.001830466;8.003;5.21;#N/A
Foundation;EF05_Erdanlieg. Boden / Lager / 5kN/m²+5kN;NaturalAggregate;kg;5229.9;50;802.4140985;0.003817202;0.010623506;4.01;0.427;0.001830466
Foundation;EF05_Erdanlieg. Boden / Lager / 5kN/m²+5kN;lean concrete;kg;5706.947971;50;281.237309;0.001337887;0.001604494;1.001;0.0591;0.010623506
Foundation;EF05_Erdanlieg. Boden / Lager / 5kN/m²+5kN;XPS;kg;124.8279963;50;518.1425616;0.002464881;0.008610465;10.005;14.5;0.001604494
Foundation;EF05_Erdanlieg. Boden / Lager / 5kN/m²+5kN;Geotextile;kg;216.0555239;50;214.9819183;0.001022701;0.005704335;9.005;5.55;0.008610465
Foundation;EF05_Erdanlieg. Boden / Lager / 5kN/m²+5kN;ConcreteFoundation;kg;26987.40088;50;2806.797375;0.013352349;0.012735599;1.002;0.0992;0.005704335
Foundation;EF05_Erdanlieg. Boden / Lager / 5kN/m²+5kN;ReinforcingSteel;kg;2053.048646;50;827.0699899;0.003934494;0.006660859;6.003;0.682;0.012735599
Foundation;EF05_Erdanlieg. Boden / Lager / 5kN/m²+5kN;LightweightAggregate;kg;1548.328477;50;1949.1812;0.009272543;0.003145123;4.01;0.427;0.006660859
Foundation;EF05_Erdanlieg. Boden / Lager / 5kN/m²+5kN;Rockwool;kg;66.44277987;50;72.37670678;0.000344307;0.000357168;10.008;1.13;0.003145123
Foundation;EF05_Erdanlieg. Boden / Lager / 5kN/m²+5kN;PE;kg;4.063797938;50;8.208555244;3.90493E-05;1.84E-05;4.003;0.951;0.000357168
Foundation;EF05_Erdanlieg. Boden / Lager / 5kN/m²+5kN;CementMortar;kg;5544.696164;50;1061.611451;0.005050242;0.007095396;4.009;0.269;1.83848E-05
Foundation;EF05_Erdanlieg. Boden / Lager / 5kN/m²+5kN;FlowingMortar;kg;227.548879;50;111.3341591;0.000529633;0.001055422;4.011;0.975;0.007095396
Foundation;EF06_Erdanlieg. Boden / Server, NSHV, HT / 5kN/m²+5kN;NaturalAggregate;kg;27783;50;4262.695443;0.020278271;0.056435664;4.01;0.427;0.001055422
Foundation;EF06_Erdanlieg. Boden / Server, NSHV, HT / 5kN/m²+5kN;lean concrete;kg;30317.24038;50;1494.027832;0.007107311;0.008523614;1.001;0.0591;0.056435664
Foundation;EF06_Erdanlieg. Boden / Server, NSHV, HT / 5kN/m²+5kN;XPS;kg;663.1285919;50;2752.548765;0.013094281;0.045741709;10.005;14.5;0.008523614
Foundation;EF06_Erdanlieg. Boden / Server, NSHV, HT / 5kN/m²+5kN;Geotextile;kg;1147.760114;50;1142.056757;0.005432933;0.030303357;9.005;5.55;0.045741709
Foundation;EF06_Erdanlieg. Boden / Server, NSHV, HT / 5kN/m²+5kN;ConcreteFoundation;kg;143366.2133;50;14910.65823;0.070932202;0.067655813;1.002;0.0992;0.030303357
Foundation;EF06_Erdanlieg. Boden / Server, NSHV, HT / 5kN/m²+5kN;ReinforcingSteel;kg;10906.48971;50;4393.675889;0.020901365;0.035384739;6.003;0.682;0.067655813
Foundation;EF06_Erdanlieg. Boden / Server, NSHV, HT / 5kN/m²+5kN;LightweightAggregate;kg;1385.304462;50;1743.951269;0.008296234;0.002813972;4.01;0.427;0.035384739
Foundation;EF06_Erdanlieg. Boden / Server, NSHV, HT / 5kN/m²+5kN;Rockwool;kg;352.9665487;50;384.4895781;0.001829074;0.001897399;10.008;1.13;0.002813972
Foundation;EF06_Erdanlieg. Boden / Server, NSHV, HT / 5kN/m²+5kN;PE;kg;21.58827093;50;43.60662543;0.000207443;9.77E-05;4.003;0.951;0.001897399
Foundation;EF06_Erdanlieg. Boden / Server, NSHV, HT / 5kN/m²+5kN;CementMortar;kg;29455.30384;50;5639.639561;0.026828598;0.037693148;4.009;0.269;9.76664E-05
Foundation;EF06_Erdanlieg. Boden / Server, NSHV, HT / 5kN/m²+5kN;rubber sealant;kg;1.552738796;12;8.766715038;0.000173769;0.000160351;8.003;5.21;0.037693148
Foundation;EF07_Erdanlieg. Boden / Trafor., HT-Zentrale / 5kN/m²+5kN;NaturalAggregate;kg;25895.7;50;3973.130417;0.018900768;0.052601988;4.01;0.427;0.000160351
Foundation;EF07_Erdanlieg. Boden / Trafor., HT-Zentrale / 5kN/m²+5kN;lean concrete;kg;28257.78936;50;1392.538477;0.006624511;0.007944605;1.001;0.0591;0.052601988
Foundation;EF07_Erdanlieg. Boden / Trafor., HT-Zentrale / 5kN/m²+5kN;XPS;kg;618.0822473;50;2565.568048;0.012204786;0.042634473;10.005;14.5;0.007944605
Foundation;EF07_Erdanlieg. Boden / Trafor., HT-Zentrale / 5kN/m²+5kN;Geotextile;kg;1069.792736;50;1064.476809;0.005063873;0.028244849;9.005;5.55;0.042634473
Foundation;EF07_Erdanlieg. Boden / Trafor., HT-Zentrale / 5kN/m²+5kN;ConcreteFoundation;kg;133627.3422;50;13897.77678;0.066113776;0.063059951;1.002;0.0992;0.028244849
Foundation;EF07_Erdanlieg. Boden / Trafor., HT-Zentrale / 5kN/m²+5kN;ReinforcingSteel;kg;10165.61154;50;4095.213357;0.019481534;0.032981053;6.003;0.682;0.063059951
Foundation;EF07_Erdanlieg. Boden / Trafor., HT-Zentrale / 5kN/m²+5kN;rubber sealant;kg;1.447261204;12;8.171191829;0.000161965;0.000149458;8.003;5.21;0.032981053
Foundation;EW01_Eranliegende Wände GU01;HDPE;kg;190.2120482;30;402.5925421;0.003191987;0.008158882;13.002;5.41;0.000149458
Foundation;EW01_Eranliegende Wände GU01;Bituminous Sealing;kg;1768;30;1856.815645;0.01472191;0.045557617;9.003;3.25;0.008158882
Foundation;EW01_Eranliegende Wände GU01;XPS;kg;2601.92584;40;10800.20956;0.064222739;0.224346634;10.005;14.5;0.045557617
Foundation;EW01_Eranliegende Wände GU01;Geotextile;kg;22.51740263;40;22.40551097;0.000133233;0.000743135;9.005;5.55;0.224346634
Foundation;EW01_Eranliegende Wände GU01;ConcreteFoundation;kg;281263.8902;50;29252.56686;0.139158779;0.132730973;1.002;0.0992;0.000743135
Foundation;EW01_Eranliegende Wände GU01;ReinforcingSteel;kg;21396.96414;50;8619.760155;0.041005471;0.069419769;6.003;0.682;0.132730973
Foundation;EW01_Eranliegende Wände GU01;Plaster;kg;425.359966;40;44.56210802;0.000264986;0.000741107;3.008;0.293;0.069419769
External walls;;gypsum-lime plaster;kg;5423.393938;45;3088.692403;0.016325962;0.004443314;4.017;0.155;0.000741107
External walls;;EPS;kg;6782.121042;40;25493.92877;0.151597978;0.030932679;4.007;0.767;0.004443314
External walls;;CementMortar;kg;3972.920198;45;760.6724426;0.004020701;0.005648931;4.009;0.269;0.030932679
External walls;;lean concrete (without reinforcement);kg;865784.0686;50;70842.81055;0.337009707;0.243412961;1.001;0.0591;0.005648931
External walls;;ReinforcingSteel;kg;51326.91038;50;20677.02942;0.098363681;0.166523728;6.003;0.682;0.243412961
External walls;;Plaster;kg;1020.350958;40;106.8953198;0.000635646;0.001777763;3.008;0.293;0.166523728
External walls;;Acrylic;kg;278.1789772;5;681.3583348;0.032413222;0.1548306;15.001;11.7;0.001777763
External walls;AW03_Holz-Alu-P/R-Fassade / Shadow-Box;Safety Glass;kg;631.28;30;1206.442697;0.009565377;#N/A;FALSE;#N/A;0.1548306
External walls;AW03_Holz-Alu-P/R-Fassade / Shadow-Box;Aluminium;kg;974.16;50;3856.901685;0.018347851;#N/A;FALSE;#N/A;#N/A
External walls;AW03_Holz-Alu-P/R-Fassade / Shadow-Box;Double Insulating Glazing;kg;389.88;30;686.0288587;0.005439234;#N/A;FALSE;#N/A;#N/A
External walls;AW03_Holz-Alu-P/R-Fassade / Shadow-Box;Glass Wool;kg;67.6931721;50;81.9103477;0.00038966;0.00036389;10.001;1.13;#N/A
External walls;AW03_Holz-Alu-P/R-Fassade / Shadow-Box;CementMortar;kg;315.9095424;50;60.48540402;0.000287738;0.000404261;4.009;0.269;0.00036389
External walls;AW03_Holz-Alu-P/R-Fassade / Shadow-Box;lean concrete (without reinforcement);kg;34421.71443;50;2816.557941;0.013398782;0.009677576;1.001;0.0591;0.000404261
External walls;AW03_Holz-Alu-P/R-Fassade / Shadow-Box;ReinforcingSteel;kg;2040.647681;50;822.0742651;0.003910729;0.006620626;6.003;0.682;0.009677576
External walls;AW03_Holz-Alu-P/R-Fassade / Shadow-Box;Plaster;kg;40.56696186;40;4.249928251;2.52719E-05;7.07E-05;3.008;0.293;0.006620626
External walls;AW03_Holz-Alu-P/R-Fassade / Shadow-Box;Acrylic;kg;11.05979846;5;27.08934349;0.00128868;0.006155732;15.001;11.7;7.068E-05
External walls;AW05_Hinterlüftetes Blechpaneel vor Stütze;Aluminium;kg;714;50;2826.874233;0.013447858;#N/A;FALSE;#N/A;0.006155732
External walls;AW05_Hinterlüftetes Blechpaneel vor Stütze;Glass Wool;kg;59.8068279;50;72.3676837;0.000344264;0.000321496;10.001;1.13;#N/A
External walls;AW05_Hinterlüftetes Blechpaneel vor Stütze;Aluminium;kg;48.96;50;193.8428046;0.000922139;#N/A;FALSE;#N/A;0.000321496
External walls;AW05_Hinterlüftetes Blechpaneel vor Stütze;lean concrete (without reinforcement);kg;30411.5391;50;2488.425211;0.011837806;0.008550126;1.001;0.0591;#N/A
External walls;AW05_Hinterlüftetes Blechpaneel vor Stütze;ReinforcingSteel;kg;1802.909523;50;726.3015244;0.003455124;0.005849314;6.003;0.682;0.008550126
External walls;AW05_Hinterlüftetes Blechpaneel vor Stütze;Plaster;kg;35.84085707;40;3.754805981;2.23277E-05;6.24E-05;3.008;0.293;0.005849314
External walls;AW05_Hinterlüftetes Blechpaneel vor Stütze;Acrylic;kg;9.771317295;5;23.9333991;0.001138547;0.005438581;15.001;11.7;6.24457E-05
External walls;AW08_Außenwand WDVS Dachgeschoss;gypsum-lime plaster;kg;714.6060623;45;406.9773173;0.002151168;0.000585467;4.017;0.155;0.005438581
External walls;AW08_Außenwand WDVS Dachgeschoss;EPS;kg;297.8789584;40;1119.724184;0.006658367;0.001358601;4.007;0.767;0.000585467
External walls;AW08_Außenwand WDVS Dachgeschoss;CementMortar;kg;523.4863797;45;100.2289609;0.000529782;0.000744324;4.009;0.269;0.001358601
External walls;AW08_Außenwand WDVS Dachgeschoss;lean concrete (without reinforcement);kg;114078.8501;50;9334.505749;0.044405622;0.032072975;1.001;0.0591;0.000744324
External walls;AW08_Außenwand WDVS Dachgeschoss;ReinforcingSteel;kg;6763.019935;50;2724.480417;0.012960756;0.021941771;6.003;0.682;0.032072975
External walls;AW08_Außenwand WDVS Dachgeschoss;Plaster;kg;134.4451442;40;14.08491518;8.3755E-05;0.000234244;3.008;0.293;0.021941771
Floor Structure + Finishing layers;DE01_Geschossdecke / Foyer, Teek., Lager EG / 6kN/m²+5kN;lean concrete (without reinforcement);kg;233718.3098;50;19124.00856;0.090975732;0.065709301;1.001;0.0591;0.000234244
Floor Structure + Finishing layers;DE01_Geschossdecke / Foyer, Teek., Lager EG / 6kN/m²+5kN;ReinforcingSteel;kg;13855.69356;50;5581.761715;0.026553264;0.044953061;6.003;0.682;0.065709301
Floor Structure + Finishing layers;DE01_Geschossdecke / Foyer, Teek., Lager EG / 6kN/m²+5kN;LightweightAggregate;kg;2419.865383;50;3046.353651;0.014491954;0.004915477;4.01;0.427;0.044953061
Floor Structure + Finishing layers;DE01_Geschossdecke / Foyer, Teek., Lager EG / 6kN/m²+5kN;Rockwool;kg;896.8231697;50;976.9173974;0.00464734;0.004820942;10.008;1.13;0.004915477
Floor Structure + Finishing layers;DE01_Geschossdecke / Foyer, Teek., Lager EG / 6kN/m²+5kN;PE;kg;54.85183123;50;110.7964258;0.000527075;0.000248152;4.003;0.951;0.004820942
Floor Structure + Finishing layers;DE01_Geschossdecke / Foyer, Teek., Lager EG / 6kN/m²+5kN;CementMortar;kg;45731.54085;50;8755.958125;0.041653385;0.058521405;4.009;0.269;0.000248152
Floor Structure + Finishing layers;DE01_Geschossdecke / Foyer, Teek., Lager EG / 6kN/m²+5kN;FlowingMortar;kg;3071.381229;50;1502.752499;0.007148815;0.014245739;4.011;0.975;0.058521405
Floor Structure + Finishing layers;DE02_Geschossdecke / Labors EG / 5kN/m²+5kN;lean concrete (without reinforcement);kg;482159.6663;50;39452.73092;0.187682465;0.135557948;1.001;0.0591;0.014245739
Floor Structure + Finishing layers;DE02_Geschossdecke / Labors EG / 5kN/m²+5kN;ReinforcingSteel;kg;28584.22426;50;11515.1456;0.054779247;0.092737933;6.003;0.682;0.135557948
Floor Structure + Finishing layers;DE02_Geschossdecke / Labors EG / 5kN/m²+5kN;LightweightAggregate;kg;4992.16979;50;6284.611852;0.029896826;0.010140605;4.01;0.427;0.092737933
Floor Structure + Finishing layers;DE02_Geschossdecke / Labors EG / 5kN/m²+5kN;Rockwool;kg;1850.141568;50;2015.375546;0.009587439;0.009945578;10.008;1.13;0.010140605
Floor Structure + Finishing layers;DE02_Geschossdecke / Labors EG / 5kN/m²+5kN;PE;kg;113.1590446;50;228.5724544;0.001087353;0.000511937;4.003;0.951;0.009945578
Floor Structure + Finishing layers;DE02_Geschossdecke / Labors EG / 5kN/m²+5kN;CementMortar;kg;94343.93263;50;18063.4964;0.085930719;0.120729356;4.009;0.269;0.000511937
Floor Structure + Finishing layers;DE02_Geschossdecke / Labors EG / 5kN/m²+5kN;Rubber;kg;1777.817337;20;4294.069457;0.051068806;0.110156847;8.003;5.21;0.120729356
Floor Structure + Finishing layers;DE03_Geschossdecke / Sanitär m. FBH / 3kN/m²+3kN;lean concrete (without reinforcement);kg;79533.05803;50;6507.79515;0.030958542;0.022360514;1.001;0.0591;0.110156847
Floor Structure + Finishing layers;DE03_Geschossdecke / Sanitär m. FBH / 3kN/m²+3kN;ReinforcingSteel;kg;4715.016469;50;1899.442876;0.00903593;0.01529728;6.003;0.682;0.022360514
Floor Structure + Finishing layers;DE03_Geschossdecke / Sanitär m. FBH / 3kN/m²+3kN;LightweightAggregate;kg;898.3275361;50;1130.899011;0.005379854;0.001824775;4.01;0.427;0.01529728
Floor Structure + Finishing layers;DE03_Geschossdecke / Sanitär m. FBH / 3kN/m²+3kN;Rockwool;kg;305.1840023;50;332.4396284;0.001581464;0.00164054;10.008;1.13;0.001824775
Floor Structure + Finishing layers;DE03_Geschossdecke / Sanitär m. FBH / 3kN/m²+3kN;PE;kg;18.66577711;50;37.70341559;0.000179361;8.44E-05;4.003;0.951;0.00164054
Floor Structure + Finishing layers;DE03_Geschossdecke / Sanitär m. FBH / 3kN/m²+3kN;CementMortar;kg;17159.14293;50;3285.36354;0.015628959;0.021958087;4.009;0.269;8.44449E-05
Floor Structure + Finishing layers;DE03_Geschossdecke / Sanitär m. FBH / 3kN/m²+3kN;Epoxy Resin;kg;231.6217458;30;932.6946928;0.007394944;#N/A;FALSE;#N/A;0.021958087
Floor Structure + Finishing layers;DE04_Geschossdecke / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;lean concrete (without reinforcement);kg;77923.98189;50;6376.13244;0.030332203;0.021908127;1.001;0.0591;#N/A
Floor Structure + Finishing layers;DE04_Geschossdecke / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;ReinforcingSteel;kg;4619.62443;50;1861.014224;0.008853119;0.014987793;6.003;0.682;0.021908127
Floor Structure + Finishing layers;DE04_Geschossdecke / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;LightweightAggregate;kg;806.8069055;50;1015.684252;0.00483176;0.001638869;4.01;0.427;0.014987793
Floor Structure + Finishing layers;DE04_Geschossdecke / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;Rockwool;kg;797.3590943;50;868.5703018;0.004131917;0.004286265;10.008;1.13;0.001638869
Floor Structure + Finishing layers;DE04_Geschossdecke / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;PE;kg;18.28813971;50;36.94061748;0.000175732;8.27E-05;4.003;0.951;0.004286265
Floor Structure + Finishing layers;DE04_Geschossdecke / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;CementMortar;kg;8204.725275;50;1570.912101;0.007473061;0.010499363;4.009;0.269;8.27364E-05
Floor Structure + Finishing layers;DE04_Geschossdecke / Sanitär o. FBH, EDV, PR / 3kN/m²+3kN;Epoxy Resin;kg;226.9356815;30;913.824844;0.007245333;#N/A;FALSE;#N/A;0.010499363
Floor Structure + Finishing layers;DE05_Geschossdecke / Seminarraum / 3kN/m²+3kN;lean concrete;kg;56925.53822;50;4657.93408;0.02215848;0.016004468;1.001;0.0591;#N/A
Floor Structure + Finishing layers;DE05_Geschossdecke / Seminarraum / 3kN/m²+3kN;ReinforcingSteel;kg;3374.758331;50;1359.520314;0.006467439;0.01094898;6.003;0.682;0.016004468
Floor Structure + Finishing layers;DE05_Geschossdecke / Seminarraum / 3kN/m²+3kN;LightweightAggregate;kg;642.9751321;50;809.4374401;0.003850613;0.001306077;4.01;0.427;0.01094898
Floor Structure + Finishing layers;DE05_Geschossdecke / Seminarraum / 3kN/m²+3kN;Rockwool;kg;218.4344978;50;237.9426271;0.001131928;0.001174211;10.008;1.13;0.001306077
Floor Structure + Finishing layers;DE05_Geschossdecke / Seminarraum / 3kN/m²+3kN;PE;kg;13.35997174;50;26.98610211;0.000128377;6.04E-05;4.003;0.951;0.001174211
Floor Structure + Finishing layers;DE05_Geschossdecke / Seminarraum / 3kN/m²+3kN;CementMortar;kg;12281.60303;50;2351.488707;0.011186379;0.015716432;4.009;0.269;6.04411E-05
Floor Structure + Finishing layers;DE05_Geschossdecke / Seminarraum / 3kN/m²+3kN;FlowingMortar;kg;748.0801556;50;366.0175144;0.001741199;0.00346976;4.011;0.975;0.015716432
Floor Structure + Finishing layers;DE06_Geschossdecke / Gang, Stiegenhaus RG / 5kN/m²+4kN;lean concrete;kg;594386.4697;50;48635.69289;0.23136717;0.167110225;1.001;0.0591;0.00346976
Floor Structure + Finishing layers;DE06_Geschossdecke / Gang, Stiegenhaus RG / 5kN/m²+4kN;ReinforcingSteel;kg;35237.44796;50;14195.39464;0.067529588;0.114323484;6.003;0.682;0.167110225
Floor Structure + Finishing layers;DE06_Geschossdecke / Gang, Stiegenhaus RG / 5kN/m²+4kN;LightweightAggregate;kg;6713.607475;50;8451.719168;0.040206076;0.013637365;4.01;0.427;0.114323484
Floor Structure + Finishing layers;DE06_Geschossdecke / Gang, Stiegenhaus RG / 5kN/m²+4kN;Rockwool;kg;2280.777909;50;2484.471514;0.011818998;0.012260497;10.008;1.13;0.013637365
Floor Structure + Finishing layers;DE06_Geschossdecke / Gang, Stiegenhaus RG / 5kN/m²+4kN;PE;kg;139.4977841;50;281.7746563;0.001340444;0.000631095;4.003;0.951;0.012260497
