Categories;Family;Type;model;mark;IFC Predefined Type;IfcConstructionType;IfcContainedInHost;IfcContainedInHostGUID;IfcMaterial;IfcName;IfcName [Type];IfcOperationType;IfcPresentationLayer;IfcSpatialContainer;count;Export to IFC As
structural framing;;;;;;;;;steel;HEB260;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;HEB260;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;HEB260;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;HEB260;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;HEB260;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;HEB260;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;HEB260;;;beams;G-04 Attica;1;IfcBeam
floors;;;;;FLOOR;;;;steel;Sheet metal t=10mm;;;beams;G-04 Attica;1;IfcSlab
floors;;;;;FLOOR;;;;not fixed;Lignature ceiling;;;Cover;G-04 Attica;1;IfcSlab
floors;;;;;FLOOR;;;;not fixed;Lignature ceiling;;;Cover;G-04 Attica;1;IfcSlab
floors;;;;;FLOOR;;;;not fixed;Lignature ceiling;;;Cover;G-04 Attica;1;IfcSlab
floors;;;;;FLOOR;;;;not fixed;Lignature ceiling;;;Cover;G-04 Attica;1;IfcSlab
floors;;;;;FLOOR;;;;not fixed;Lignature ceiling;;;Cover;G-04 Attica;1;IfcSlab
floors;;;;;FLOOR;;;;steel;Sheet metal t=10mm;;;beams;G-04 Attica;1;IfcSlab
floors;;;;;FLOOR;;;;steel;Sheet metal t=10mm;;;beams;G-04 Attica;1;IfcSlab
floors;;;;;FLOOR;;;;steel;Sheet metal t=10mm;;;beams;G-04 Attica;1;IfcSlab
floors;;;;;FLOOR;;;;steel;Sheet metal t=10mm;;;beams;G-04 Attica;1;IfcSlab
floors;;;;;FLOOR;;;;steel;Sheet metal t=10mm;;;beams;G-04 Attica;1;IfcSlab
structural framing;;;;;;;;;steel;carrier;;;beams;G-04 Attica;1;IfcBeam
floors;;;;;FLOOR;;;;steel;Sheet metal t=10mm;;;beams;G-04 Attica;1;IfcSlab
floors;;;;;FLOOR;;;;steel;Sheet metal t=10mm;;;beams;G-04 Attica;1;IfcSlab
Generic Models;;;;;;;;;;ceiling opening;;;Cover;;1;IfcOpeningElement
floors;;;;;FLOOR;;;;concrete;concrete ceiling;;;Cover;G-04 Attica;1;IfcSlab
walls;;;;;;;;;Insulation materials: 0.1 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
structural framing;;;;;;;;;steel;RRP 270;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;RRP 270;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;RRP 270;;;beams;G-04 Attica;1;IfcBeam
floors;;;;;FLOOR;;;;not fixed;Lignature ceiling;;;Cover;G-04 Attica;1;IfcSlab
structural framing;;;;;;;;;steel;LNP 160.12;;;beams;G-04 Attica;1;IfcBeam
floors;;;;;FLOOR;;;;concrete;concrete ceiling;;;Cover;G-04 Attica;1;IfcSlab
walls;;;;;;;;;Insulation materials: 0.1 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
floors;;;;;FLOOR;;;;not fixed;ceiling;;;roofs flat roof;G-04 Attica;1;IfcSlab
floors;;;;;FLOOR;;;;not fixed;wooden board;;;Cover;G-04 Attica;1;IfcSlab
Generic Models;;;;;;;;;;ceiling opening;;;Cover;;1;IfcOpeningElement
Generic Models;;;;;;;;;;ceiling opening;;;Cover;;1;IfcOpeningElement
Generic Models;;;;;;;;;;ceiling opening;;;Cover;;1;IfcOpeningElement
floors;;;;;FLOOR;;;;not fixed;Lignature ceiling;;;Cover;G-04 Attica;1;IfcSlab
Generic Models;;;;;;;;;;ceiling opening;;;Cover;;1;IfcOpeningElement
Generic Models;;;;;;;;;;ceiling opening;;;Cover;;1;IfcOpeningElement
Generic Models;;;;;;;;;;ceiling opening;;;Cover;;1;IfcOpeningElement
Generic Models;;;;;;;;;;ceiling opening;;;Cover;;1;IfcOpeningElement
floors;;;;;FLOOR;;;;not fixed;Lignature ceiling;;;Cover;G-04 Attica;1;IfcSlab
walls;;;;;;;;;see facade;horizontal element;;;facade cladding;F-03 technique;1;IfcWall
walls;;;;;;;;;see facade;horizontal element;;;facade cladding;F-03 technique;1;IfcWall
walls;;;;;;;;;see facade;horizontal element;;;facade cladding;F-03 technique;1;IfcWall
walls;;;;;;;;;see facade;horizontal element;;;facade cladding;F-03 technique;1;IfcWall
walls;;;;;;;;;see facade;horizontal element;;;facade cladding;F-03 technique;1;IfcWall
walls;;;;;;;;;see facade;horizontal element;;;facade cladding;F-03 technique;1;IfcWall
Generic Models;;;;;;;;;;;;;facade cladding;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;;;;facade cladding;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;;;;facade cladding;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;;;;facade cladding;F-03 technique;1;IfcBuildingElementProxy
walls;;;;;;;;;see facade;horizontal element;;;facade cladding;F-03 technique;1;IfcWall
walls;;;;;;;;;see facade;horizontal element;;;facade cladding;F-03 technique;1;IfcWall
walls;;;;;;;;;see facade;horizontal element;;;facade cladding;F-03 technique;1;IfcWall
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 43;;;;F-03 technique;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;Technology Laboratory San 68.83;;;;F-03 technique;1;IfcBuildingElementProxy
